benchmark,model,params_M,seed,n_test,mcc,auc,acc
CellPPD,peptideclm-2-mlm-large,336.7,101,,0.876,0.9832,0.9367
CellPPD,peptideclm-2-mlm-large,336.7,202,,0.878,0.9808,0.9387
CellPPD,peptideclm-2-mlm-large,336.7,303,,0.8711,0.979,0.9347
THPep,peptideclm-2-mlm-large,336.7,101,,0.7419,0.9478,0.8934
THPep,peptideclm-2-mlm-large,336.7,202,,0.7779,0.955,0.8934
THPep,peptideclm-2-mlm-large,336.7,303,,0.7474,0.9442,0.8934
AmpHGT,peptideclm-2-mlm-large,336.7,101,,0.8985,0.9844,0.9491
AmpHGT,peptideclm-2-mlm-large,336.7,202,,0.8817,0.9811,0.9408
AmpHGT,peptideclm-2-mlm-large,336.7,303,,0.8732,0.9758,0.9367
PepMSND,peptideclm-2-mlm-large,336.7,1,640.0,0.6209,0.8638,0.8156
PepMSND,peptideclm-2-mlm-large,336.7,2,640.0,0.6188,0.8705,0.8141
PepMSND,peptideclm-2-mlm-large,336.7,3,640.0,0.6142,0.8665,0.8125
AmpHGT,bisel8,84.8,101,5148.0,0.8511,0.9719,0.9223
AmpHGT,bisel8,84.8,202,5148.0,0.8269,0.9698,0.9091
AmpHGT,bisel8,84.8,303,5148.0,0.8341,0.9716,0.9147
THPep,bisel8,84.8,101,122.0,0.8476,0.9734,0.9344
THPep,bisel8,84.8,202,122.0,0.8256,0.9665,0.9262
THPep,bisel8,84.8,303,122.0,0.8256,0.9655,0.9262
CellPPD,bisel8,84.8,101,300.0,0.7804,0.9436,0.89
CellPPD,bisel8,84.8,202,300.0,0.7734,0.9457,0.8867
CellPPD,bisel8,84.8,303,300.0,0.7668,0.9449,0.8833
PepMSND,bisel8,84.8,101,640.0,0.6837,0.8837,0.8453
PepMSND,bisel8,84.8,202,640.0,0.6436,0.886,0.8266
PepMSND,bisel8,84.8,303,640.0,0.6371,0.8867,0.8234
