depth,params_M,mcc,mcc_lo,mcc_hi,auc,auc_lo,auc_hi,acc,C,cv_mcc,mcc_raw,auc_raw
0,0.831893,0.8411972213451419,0.775278456569122,0.9000133430486954,0.9725777777777778,0.9542617934069967,0.9870285371247781,0.92,1.0,0.8456202586402297,0.8411972213451419,0.9723999999999999
1,11.326869,0.8337966824563375,0.7612046006338635,0.8931656979700937,0.976,0.958255974136712,0.9893303571428571,0.9166666666666666,1.0,0.8559553753362928,0.8201640492164057,0.9660444444444445
2,21.821845,0.8600191117481717,0.7933927348967289,0.9132782934023936,0.9746666666666667,0.957136535741475,0.9887525951427697,0.93,1.0,0.8653295773960117,0.8735080524174728,0.9750666666666667
3,32.316821,0.853409195300264,0.786971346843104,0.9130154991532904,0.9709777777777777,0.9521723431018332,0.9858380473030155,0.9266666666666666,0.1,0.8712592365055724,0.8800782326533972,0.9768888888888888
4,42.811797,0.8600191117481717,0.7999813208087235,0.9138762124661027,0.9668000000000001,0.9431693937177517,0.9841939556143979,0.93,0.1,0.8695228783884797,0.88,0.9728222222222223
5,53.306773,0.8866863710271847,0.8272612673949543,0.9341116385156748,0.9764888888888887,0.957678840963127,0.9900855947623063,0.9433333333333334,1.0,0.8800470765765755,0.8934127513299639,0.976311111111111
6,63.801749,0.8536369026539761,0.7857665857773891,0.9073447362108347,0.972,0.9508771257747409,0.9879094848799899,0.9266666666666666,1.0,0.8749724543905633,0.8803130558619128,0.973288888888889
7,74.296725,0.8134056392705641,0.7401468897391738,0.8738649510830432,0.9716444444444443,0.9551227845356698,0.9843609281692988,0.9066666666666666,0.1,0.8834729247237801,0.8134056392705641,0.9701777777777778
8,84.791701,0.8269607494460393,0.7579079985557573,0.8866262082563816,0.9699555555555557,0.9497287293612315,0.9855903506691177,0.9133333333333333,1.0,0.8919233079601311,0.8335000500166725,0.9741333333333333
9,95.286677,0.853409195300264,0.7933153705742856,0.906753730503878,0.9744444444444444,0.9572242391207312,0.9875091696339606,0.9266666666666666,1.0,0.8903887102429933,0.8335000500166725,0.9755111111111111
10,105.781653,0.8400746766236974,0.7716968872162269,0.8995947536596947,0.9752444444444445,0.9573365333481012,0.9881286507312741,0.92,1.0,0.8920990476313918,0.8667437139768306,0.9796444444444445
11,116.276629,0.8669749792579444,0.8106670017396314,0.9157094297290583,0.9841333333333333,0.9719481605349513,0.9929414892270695,0.9333333333333333,1.0,0.8906329578131906,0.8733527413876783,0.9885777777777778
12,126.771605,0.853409195300264,0.7878864402159023,0.90675519061319,0.9824444444444445,0.9699363405192815,0.9925260618017849,0.9266666666666666,1.0,0.8904174619896708,0.8733527413876783,0.9860444444444445
13,137.266581,0.88,0.8208845838311049,0.9332301266605056,0.9834222222222222,0.9711237884130112,0.9930145847487432,0.94,1.0,0.8884778129230396,0.8800782326533972,0.9877777777777779
14,147.761557,0.9066666666666666,0.8533064393372333,0.9532559606201467,0.9848,0.9725639812252682,0.9949257477748228,0.9533333333333334,1.0,0.8837346326771776,0.9266872599457043,0.9890666666666666
